extension	class_name	object_type	schema_name	object_name	object_identity
pgcrypto	pg_proc	function	public	[NULL]	public.dearmor(pg_catalog.text)
pgcrypto	pg_proc	function	public	[NULL]	public.decrypt_iv(pg_catalog.bytea,pg_catalog.bytea,pg_catalog.bytea,pg_catalog.text)
pgcrypto	pg_proc	function	public	[NULL]	public.decrypt(pg_catalog.bytea,pg_catalog.bytea,pg_catalog.text)
pgcrypto	pg_proc	function	public	[NULL]	public.digest(pg_catalog.bytea,pg_catalog.text)
pgcrypto	pg_proc	function	public	[NULL]	public.digest(pg_catalog.text,pg_catalog.text)
pgcrypto	pg_proc	function	public	[NULL]	public.encrypt_iv(pg_catalog.bytea,pg_catalog.bytea,pg_catalog.bytea,pg_catalog.text)
pgcrypto	pg_proc	function	public	[NULL]	public.encrypt(pg_catalog.bytea,pg_catalog.bytea,pg_catalog.text)
pgcrypto	pg_proc	function	public	[NULL]	public.gen_random_bytes(integer)
pgcrypto	pg_proc	function	public	[NULL]	public.gen_random_uuid()
pgcrypto	pg_proc	function	public	[NULL]	public.gen_salt(pg_catalog.text)
pgcrypto	pg_proc	function	public	[NULL]	public.gen_salt(pg_catalog.text,integer)
